,id,url,text,rating,time_created,user
0,poPaZ7qFMJjHRVFUXSZGZg,https://www.yelp.com/biz/fredericks-restaurant-san-antonio?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&hrid=poPaZ7qFMJjHRVFUXSZGZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,Food and service were excellent! Can't wait to go back! The Parmesan encrusted cod was excellent!,5,2023-03-08 19:41:35,"{'id': '65KEqaJMSUrdyD3rPtTmhQ', 'profile_url': 'https://www.yelp.com/user_details?userid=65KEqaJMSUrdyD3rPtTmhQ', 'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/Fa1WXdOHUyhPLhDIeF5UxQ/o.jpg', 'name': 'Terri H.'}"
1,ZLEpaSzQWC3YcL0cXyu66A,https://www.yelp.com/biz/fredericks-restaurant-san-antonio?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&hrid=ZLEpaSzQWC3YcL0cXyu66A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,I will start by saying that the food here was absolutely delicious. Our entrees were the Duck la'orange and the Parmesan crusted snapper. Absolutely...,1,2023-01-20 18:57:13,"{'id': 'TZfFTkKFor7EY1HOt3QHRQ', 'profile_url': 'https://www.yelp.com/user_details?userid=TZfFTkKFor7EY1HOt3QHRQ', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/pcbIHKtSoKrUIh4a5ezlOQ/o.jpg', 'name': 'Cassie M.'}"
2,gB9u41VK7mEyoQWvpct4dw,https://www.yelp.com/biz/fredericks-restaurant-san-antonio?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&hrid=gB9u41VK7mEyoQWvpct4dw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,"Visited this place for the first time on a Wednesday evening; small and intimate with elegant décor. Clearly very popular with the boomer crowd, but nothing...",5,2022-07-23 13:41:54,"{'id': 'y4Qv_RY87bAWzX7awoU-Rg', 'profile_url': 'https://www.yelp.com/user_details?userid=y4Qv_RY87bAWzX7awoU-Rg', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/QXw0gxzlX9pwk6D-nO-ELg/o.jpg', 'name': 'Natalie M.'}"
