,id,url,text,rating,time_created,user
0,H-5T2wEBrD2ahiJRMLpTSw,https://www.yelp.com/biz/galpao-gaucho-brazilian-steakhouse-san-antonio-3?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&hrid=H-5T2wEBrD2ahiJRMLpTSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,"The food and service was amazing. I was able to get the same table on Valentine's Day from when I first met my friend Josh on Christmas Day. Yep, they were...",5,2023-02-26 05:26:40,"{'id': 'Pp8b52bYBwbF4JhUG8P2cg', 'profile_url': 'https://www.yelp.com/user_details?userid=Pp8b52bYBwbF4JhUG8P2cg', 'image_url': None, 'name': 'Juan C.'}"
1,mT1bx0YHP-TAF3oDeA0eIw,https://www.yelp.com/biz/galpao-gaucho-brazilian-steakhouse-san-antonio-3?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&hrid=mT1bx0YHP-TAF3oDeA0eIw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,"Make reservations, especially on a weekend or during a special event like Restaurant Week. That's the best advice I can give you. I always make...",5,2023-01-30 02:06:52,"{'id': 'nlQYmpkdiGj5Y047t4hARQ', 'profile_url': 'https://www.yelp.com/user_details?userid=nlQYmpkdiGj5Y047t4hARQ', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/yuF4MlUBWY52YYkgB75o0A/o.jpg', 'name': 'Sam O.'}"
2,fc2_u7380lIa5i1g1AwOog,https://www.yelp.com/biz/galpao-gaucho-brazilian-steakhouse-san-antonio-3?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&hrid=fc2_u7380lIa5i1g1AwOog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,"My favorite homestyle Brazilian steakhouse in SA. It's like being invited into a Brazilian family's home for homemade Picanha,  Fraudina,  plantains,...",5,2023-01-26 17:09:58,"{'id': '0SoKcClnFCyA10Q4mY8GEQ', 'profile_url': 'https://www.yelp.com/user_details?userid=0SoKcClnFCyA10Q4mY8GEQ', 'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/v7871_aYk5vQF77dGXmLSA/o.jpg', 'name': 'Carolina E.'}"
