,id,url,text,rating,time_created,user
0,B_3BBLi701bcBIgxTepKHA,https://www.yelp.com/biz/toro-kitchen-bar-san-antonio-2?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&hrid=B_3BBLi701bcBIgxTepKHA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,"Everything was fantastic, the food, the service, the ambiente, etc. 
we arrived, and from the beginning, the treat was different. We didn't need to worry...",5,2023-03-14 07:41:37,"{'id': 'YYDQg7MCNOTTD1ImM_vEOQ', 'profile_url': 'https://www.yelp.com/user_details?userid=YYDQg7MCNOTTD1ImM_vEOQ', 'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/wm5PHVtAVRSf6KYE4bG0eQ/o.jpg', 'name': 'Hector O.'}"
1,R1mx_kW6rNQMJm_eTXNilw,https://www.yelp.com/biz/toro-kitchen-bar-san-antonio-2?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&hrid=R1mx_kW6rNQMJm_eTXNilw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,"Amazing food and our server Zindir was enlightening. Paella flavor unique, decoration and atmosphere is great",5,2023-03-07 17:11:51,"{'id': 'TZkby6qvLU38x9bZb9vbQQ', 'profile_url': 'https://www.yelp.com/user_details?userid=TZkby6qvLU38x9bZb9vbQQ', 'image_url': None, 'name': 'Monyk S.'}"
2,_0yuefkWAvGxE7rXVp3npg,https://www.yelp.com/biz/toro-kitchen-bar-san-antonio-2?adjust_creative=YbyBWgv3ab5QBB9Ji_-pqQ&hrid=_0yuefkWAvGxE7rXVp3npg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=YbyBWgv3ab5QBB9Ji_-pqQ,"Ever since I went to Spain, I've wanted to experience some authentic Spanish food. Well, Toro does a decent job at it. You definitely have to try the Jamòn...",4,2023-03-09 15:18:04,"{'id': 'I1DF0ixBZrecpVisXkNhvg', 'profile_url': 'https://www.yelp.com/user_details?userid=I1DF0ixBZrecpVisXkNhvg', 'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/GB6OBIVG6fPJSR_EG3AqCQ/o.jpg', 'name': 'Matthew W.'}"
